heure;variable;valeur
15/06/2023 17:51:00;P4MOX671401_VIT;0
15/06/2023 17:51:00;PLMEI477001;0
15/06/2023 17:51:00;PLMEI477501_MES;0
15/06/2023 17:51:00;PLMEI477701;0
15/06/2023 17:51:00;PLMES477201;0
15/06/2023 17:51:00;PLMES477301;0
15/06/2023 17:51:00;PLMET477201;0
15/06/2023 17:51:00;PLMET477202;0
15/06/2023 17:51:00;PLMET477203;0
15/06/2023 17:51:00;PLMET477204;0
15/06/2023 17:51:00;PLMET477501_MES;0
15/06/2023 17:51:00;PLMET477502_MES;0
15/06/2023 17:51:00;PLMET477503_MES;0
15/06/2023 17:51:00;PLMEX477201;0
15/06/2023 17:51:00;PLREGI4772_MES;0
15/06/2023 17:51:00;PLREGI4773_MES;0
15/06/2023 17:51:00;PLREGT4772_MES;0
15/06/2023 17:51:00;PLREGT4773_MES;0
15/06/2023 17:51:00;PR_PRODUIT_G1;0
15/06/2023 17:51:00;PRBOA401100_ANIM;0
15/06/2023 17:51:00;PRBOA403100_ANIM;0
15/06/2023 17:51:00;PRBRO405500_ETA;0
15/06/2023 17:51:00;PRBRO405600_ETA;0
15/06/2023 17:51:00;PRBRO405700_ETA;0
15/06/2023 17:51:00;PRBRO405800_ETA;0
15/06/2023 17:51:00;PRCOR701001_ETA;0
15/06/2023 17:51:00;PRCOR701005_TEMP;0
15/06/2023 17:51:00;PRCOR701006_TEMP;0
15/06/2023 17:51:00;PRCOR701007_TEMP;0
15/06/2023 17:51:00;PRCOR702001_ETA;0
15/06/2023 17:51:00;PRCOR702005_TEMP;0
15/06/2023 17:51:00;PRCOR702006_TEMP;0
15/06/2023 17:51:00;PRCOR702007_TEMP;0
15/06/2023 17:51:00;PRCOR703001_ETA;0
15/06/2023 17:51:00;PRCOR703005_TEMP;0
15/06/2023 17:51:00;PRCOR703006_TEMP;0
15/06/2023 17:51:00;PRCOR703007_TEMP;0
15/06/2023 17:51:00;PRCOR704001_ETA;0
15/06/2023 17:51:00;PRCOR704005_TEMP;64
15/06/2023 17:52:00;CHMED_EAU_CSEP;0
15/06/2023 17:52:00;CHMED_VAP_CSEP;0
15/06/2023 17:52:00;CHMEP_EAU_INDUS_AMONT;0
15/06/2023 17:52:00;CHMEP_EAU_INDUS_AVAL;0
15/06/2023 17:52:00;CHMEP_VAP_CSEP;0
15/06/2023 17:52:00;GSMEPCOMP;0
15/06/2023 17:52:00;MW_PRMEI404801;0
15/06/2023 17:52:00;MW_PRMEI407001;0
15/06/2023 17:52:00;MW_PRMEI408001;0
15/06/2023 17:52:00;MW_PRMEI408101;0
15/06/2023 17:52:00;MW_PRMEI409501;0
15/06/2023 17:52:00;MW_PRMEI409601;0
15/06/2023 17:52:00;MW_PRMEI470501;0
15/06/2023 17:52:00;MW_PRMEI471501;0
15/06/2023 17:52:00;MW_PRMEI476001;0
15/06/2023 17:52:00;MW_PRMEI700201;0
15/06/2023 17:52:00;MW_PRMEI700301;0
15/06/2023 17:52:00;MW_PRMEN000101;0
15/06/2023 17:52:00;MW_PRMEN408201;0
15/06/2023 17:52:00;MW_PRMEN4706;0
15/06/2023 17:52:00;MW_PRMEN700501;0
15/06/2023 17:52:00;MW_PRMEN705001;0
15/06/2023 17:52:00;MW_PRMEP407001;0
15/06/2023 17:52:00;MW_PRMET407002;0
15/06/2023 17:52:00;MW_PRMET407003;0
15/06/2023 17:52:00;MW_PRMET407004;0
15/06/2023 17:52:00;MW_PRMET407005;0
15/06/2023 17:52:00;MW_PRMET407006;0
15/06/2023 17:52:00;MW_PRMET407007;0
15/06/2023 17:52:00;MW_PRMET407008;0
15/06/2023 17:52:00;MW_PRMET407009;0
15/06/2023 17:52:00;MW_PRMET701001;0
15/06/2023 17:52:00;MW_PRMET703001;0
15/06/2023 17:52:00;MW_PRMEV470601;0
15/06/2023 17:52:00;MW_PRTPA406801_ETA;0
15/06/2023 17:52:00;MW_PRTPA407001_ETA;0
15/06/2023 17:52:00;MW_PRTPA407101_ETA;0
15/06/2023 17:52:00;P4_MET_DEP_MES;0
15/06/2023 17:52:00;P4_MET_RET_MES;0
15/06/2023 17:52:00;P4LIC4000_MES;0
15/06/2023 17:52:00;P4MEDFFI4000;0
15/06/2023 17:52:00;P4MEDFI4000;0
15/06/2023 17:52:00;P4MENLI4000;0
15/06/2023 17:52:00;P4MON670101_INT;0
15/06/2023 17:52:00;P4MON670101_VIT;0
15/06/2023 17:52:00;P4MON670201_INT;0
15/06/2023 17:52:00;P4MON670201_VIT;0
15/06/2023 17:52:00;P4MON670301_INT;0
15/06/2023 17:52:00;P4MON670301_VIT;0
15/06/2023 17:52:00;P4MON670401_INT;0
15/06/2023 17:52:00;P4MON670401_VIT;0
15/06/2023 17:52:00;P4MOX671001_INT;0
15/06/2023 17:52:00;P4MOX671001_VIT;0
15/06/2023 17:52:00;P4MOX671101_INT;0
15/06/2023 17:52:00;P4MOX671101_VIT;0
15/06/2023 17:52:00;P4MOX671201_INT;0
15/06/2023 17:52:00;P4MOX671201_VIT;0
15/06/2023 17:52:00;P4MOX671301_INT;0
15/06/2023 17:52:00;P4MOX671301_VIT;0
15/06/2023 17:52:00;P4MOX671401_INT;0
15/06/2023 17:52:00;P4MOX671401_VIT;0
15/06/2023 17:52:00;PLMEI477001;0
15/06/2023 17:52:00;PLMEI477501_MES;0
15/06/2023 17:52:00;PLMEI477701;0
15/06/2023 17:52:00;PLMES477201;0
15/06/2023 17:52:00;PLMES477301;0
15/06/2023 17:52:00;PLMET477201;0
15/06/2023 17:52:00;PLMET477202;0
15/06/2023 17:52:00;PLMET477203;0
15/06/2023 17:52:00;PLMET477204;0
15/06/2023 17:52:00;PLMET477501_MES;0
15/06/2023 17:52:00;PLMET477502_MES;0
15/06/2023 17:52:00;PLMET477503_MES;0
15/06/2023 17:52:00;PLMEX477201;0
15/06/2023 17:52:00;PLREGI4772_MES;0
15/06/2023 17:52:00;PLREGI4773_MES;0
15/06/2023 17:52:00;PLREGT4772_MES;0
15/06/2023 17:52:00;PLREGT4773_MES;0
15/06/2023 17:52:00;PR_PRODUIT_G1;0
15/06/2023 17:52:00;PRBOA401100_ANIM;0
15/06/2023 17:52:00;PRBOA403100_ANIM;0
15/06/2023 17:52:00;PRBRO405500_ETA;0
15/06/2023 17:52:00;PRBRO405600_ETA;0
15/06/2023 17:52:00;PRBRO405700_ETA;0
15/06/2023 17:52:00;PRBRO405800_ETA;0
15/06/2023 17:52:00;PRCOR701001_ETA;0
15/06/2023 17:52:00;PRCOR701005_TEMP;0
15/06/2023 17:52:00;PRCOR701006_TEMP;0
15/06/2023 17:52:00;PRCOR701007_TEMP;0
15/06/2023 17:52:00;PRCOR702001_ETA;0
15/06/2023 17:52:00;PRCOR702005_TEMP;0
15/06/2023 17:52:00;PRCOR702006_TEMP;0
15/06/2023 17:52:00;PRCOR702007_TEMP;0
15/06/2023 17:52:00;PRCOR703001_ETA;0
15/06/2023 17:52:00;PRCOR703005_TEMP;0
15/06/2023 17:52:00;PRCOR703006_TEMP;0
15/06/2023 17:52:00;PRCOR703007_TEMP;0
15/06/2023 17:52:00;PRCOR704001_ETA;0
15/06/2023 17:52:00;PRCOR704005_TEMP;64
15/06/2023 17:53:00;CHMED_EAU_CSEP;0
15/06/2023 17:53:00;CHMED_VAP_CSEP;0
15/06/2023 17:53:00;CHMEP_EAU_INDUS_AMONT;0
15/06/2023 17:53:00;CHMEP_EAU_INDUS_AVAL;0
15/06/2023 17:53:00;CHMEP_VAP_CSEP;0
15/06/2023 17:53:00;GSMEPCOMP;0
15/06/2023 17:53:00;MW_PRMEI404801;0
15/06/2023 17:53:00;MW_PRMEI407001;0
15/06/2023 17:53:00;MW_PRMEI408001;0
15/06/2023 17:53:00;MW_PRMEI408101;0
15/06/2023 17:53:00;MW_PRMEI409501;0
15/06/2023 17:53:00;MW_PRMEI409601;0
15/06/2023 17:53:00;MW_PRMEI470501;0
15/06/2023 17:53:00;MW_PRMEI471501;0
15/06/2023 17:53:00;MW_PRMEI476001;0
15/06/2023 17:53:00;MW_PRMEI700201;0
15/06/2023 17:53:00;MW_PRMEI700301;0
15/06/2023 17:53:00;MW_PRMEN000101;0
15/06/2023 17:53:00;MW_PRMEN408201;0
15/06/2023 17:53:00;MW_PRMEN4706;0
15/06/2023 17:53:00;MW_PRMEN700501;0
15/06/2023 17:53:00;MW_PRMEN705001;0
15/06/2023 17:53:00;MW_PRMEP407001;0
15/06/2023 17:53:00;MW_PRMET407002;0
15/06/2023 17:53:00;MW_PRMET407003;0
15/06/2023 17:53:00;MW_PRMET407004;0
15/06/2023 17:53:00;MW_PRMET407005;0
15/06/2023 17:53:00;MW_PRMET407006;0
15/06/2023 17:53:00;MW_PRMET407007;0
15/06/2023 17:53:00;MW_PRMET407008;0
15/06/2023 17:53:00;MW_PRMET407009;0
15/06/2023 17:53:00;MW_PRMET701001;0
15/06/2023 17:53:00;MW_PRMET703001;0
15/06/2023 17:53:00;MW_PRMEV470601;0
15/06/2023 17:53:00;MW_PRTPA406801_ETA;0
15/06/2023 17:53:00;MW_PRTPA407001_ETA;0
15/06/2023 17:53:00;MW_PRTPA407101_ETA;0
15/06/2023 17:53:00;P4_MET_DEP_MES;0
15/06/2023 17:53:00;P4_MET_RET_MES;0
15/06/2023 17:53:00;P4LIC4000_MES;0
15/06/2023 17:53:00;P4MEDFFI4000;0
15/06/2023 17:53:00;P4MEDFI4000;0
15/06/2023 17:53:00;P4MENLI4000;0
15/06/2023 17:53:00;P4MON670101_INT;0
15/06/2023 17:53:00;P4MON670101_VIT;0
15/06/2023 17:53:00;P4MON670201_INT;0
15/06/2023 17:53:00;P4MON670201_VIT;0
15/06/2023 17:53:00;P4MON670301_INT;0
15/06/2023 17:53:00;P4MON670301_VIT;0
15/06/2023 17:53:00;P4MON670401_INT;0
15/06/2023 17:53:00;P4MON670401_VIT;0
15/06/2023 17:53:00;P4MOX671001_INT;0
15/06/2023 17:53:00;P4MOX671001_VIT;0
15/06/2023 17:53:00;P4MOX671101_INT;0
15/06/2023 17:53:00;P4MOX671101_VIT;0
15/06/2023 17:53:00;P4MOX671201_INT;0
15/06/2023 17:53:00;P4MOX671201_VIT;0
15/06/2023 17:53:00;P4MOX671301_INT;0
15/06/2023 17:53:00;P4MOX671301_VIT;0
15/06/2023 17:53:00;P4MOX671401_INT;0
15/06/2023 17:53:00;P4MOX671401_VIT;0
15/06/2023 17:53:00;PLMEI477001;0
15/06/2023 17:53:00;PLMEI477501_MES;0
15/06/2023 17:53:00;PLMEI477701;0
15/06/2023 17:53:00;PLMES477201;0
15/06/2023 17:53:00;PLMES477301;0
15/06/2023 17:53:00;PLMET477201;0
15/06/2023 17:53:00;PLMET477202;0
15/06/2023 17:53:00;PLMET477203;0
15/06/2023 17:53:00;PLMET477204;0
15/06/2023 17:53:00;PLMET477501_MES;0
15/06/2023 17:53:00;PLMET477502_MES;0
15/06/2023 17:53:00;PLMET477503_MES;0
15/06/2023 17:53:00;PLMEX477201;0
15/06/2023 17:53:00;PLREGI4772_MES;0
15/06/2023 17:53:00;PLREGI4773_MES;0
15/06/2023 17:53:00;PLREGT4772_MES;0
15/06/2023 17:53:00;PLREGT4773_MES;0
15/06/2023 17:53:00;PR_PRODUIT_G1;0
15/06/2023 17:53:00;PRBOA401100_ANIM;0
15/06/2023 17:53:00;PRBOA403100_ANIM;0
15/06/2023 17:53:00;PRBRO405500_ETA;0
15/06/2023 17:53:00;PRBRO405600_ETA;0
15/06/2023 17:53:00;PRBRO405700_ETA;0
15/06/2023 17:53:00;PRBRO405800_ETA;0
15/06/2023 17:53:00;PRCOR701001_ETA;0
15/06/2023 17:53:00;PRCOR701005_TEMP;0
15/06/2023 17:53:00;PRCOR701006_TEMP;0
15/06/2023 17:53:00;PRCOR701007_TEMP;0
15/06/2023 17:53:00;PRCOR702001_ETA;0
15/06/2023 17:53:00;PRCOR702005_TEMP;0
15/06/2023 17:53:00;PRCOR702006_TEMP;0
15/06/2023 17:53:00;PRCOR702007_TEMP;0
15/06/2023 17:53:00;PRCOR703001_ETA;0
15/06/2023 17:53:00;PRCOR703005_TEMP;0
15/06/2023 17:53:00;PRCOR703006_TEMP;0
15/06/2023 17:53:00;PRCOR703007_TEMP;0
15/06/2023 17:53:00;PRCOR704001_ETA;0
15/06/2023 17:53:00;PRCOR704005_TEMP;64
15/06/2023 17:54:00;CHMED_EAU_CSEP;0
15/06/2023 17:54:00;CHMED_VAP_CSEP;0
15/06/2023 17:54:00;CHMEP_EAU_INDUS_AMONT;0
15/06/2023 17:54:00;CHMEP_EAU_INDUS_AVAL;0
15/06/2023 17:54:00;CHMEP_VAP_CSEP;0
15/06/2023 17:54:00;GSMEPCOMP;0
15/06/2023 17:54:00;MW_PRMEI404801;0
15/06/2023 17:54:00;MW_PRMEI407001;0
15/06/2023 17:54:00;MW_PRMEI408001;0
15/06/2023 17:54:00;MW_PRMEI408101;0
15/06/2023 17:54:00;MW_PRMEI409501;0
15/06/2023 17:54:00;MW_PRMEI409601;0
15/06/2023 17:54:00;MW_PRMEI470501;0
15/06/2023 17:54:00;MW_PRMEI471501;0
15/06/2023 17:54:00;MW_PRMEI476001;0
15/06/2023 17:54:00;MW_PRMEI700201;0
15/06/2023 17:54:00;MW_PRMEI700301;0
15/06/2023 17:54:00;MW_PRMEN000101;0
15/06/2023 17:54:00;MW_PRMEN408201;0
15/06/2023 17:54:00;MW_PRMEN4706;0
15/06/2023 17:54:00;MW_PRMEN700501;0
15/06/2023 17:54:00;MW_PRMEN705001;0
15/06/2023 17:54:00;MW_PRMEP407001;0
15/06/2023 17:54:00;MW_PRMET407002;0
15/06/2023 17:54:00;MW_PRMET407003;0
15/06/2023 17:54:00;MW_PRMET407004;0
15/06/2023 17:54:00;MW_PRMET407005;0
15/06/2023 17:54:00;MW_PRMET407006;0
15/06/2023 17:54:00;MW_PRMET407007;0
15/06/2023 17:54:00;MW_PRMET407008;0
15/06/2023 17:54:00;MW_PRMET407009;0
15/06/2023 17:54:00;MW_PRMET701001;0
15/06/2023 17:54:00;MW_PRMET703001;0
15/06/2023 17:54:00;MW_PRMEV470601;0
15/06/2023 17:54:00;MW_PRTPA406801_ETA;0
15/06/2023 17:54:00;MW_PRTPA407001_ETA;0
15/06/2023 17:54:00;MW_PRTPA407101_ETA;0
15/06/2023 17:54:00;P4_MET_DEP_MES;0
15/06/2023 17:54:00;P4_MET_RET_MES;0
15/06/2023 17:54:00;P4LIC4000_MES;0
